,TECH_CO,BANK_CO,ENERGY_CO,HEALTH_CO,BOND_ETF
2015-01-01,99.40279025348619,100.55732248213738,99.00394202138571,99.37220491236013,99.61167293168864
2015-01-02,98.1108388935505,100.50802697764195,98.99446756987979,99.10676442920877,99.6303909030154
2015-01-05,97.6836643841014,100.10082845316579,97.23677618296604,98.3951165035018,99.23485423023904
2015-01-06,98.03826621221562,99.06701605837831,96.55841027031342,98.6904166943664,98.84241074434019
2015-01-07,98.10554861878052,99.05364123276644,95.47248987706224,98.73379135934101,98.82191409614268
2015-01-08,97.67192372538561,97.69844833145845,93.6617211035134,99.5257120915489,98.89858922390917
2015-01-09,96.81946788033177,96.86454268809251,92.54957205480882,99.39480297432875,98.62724559431985
2015-01-12,98.72507767898179,97.29243379567906,93.34154368744296,99.47194376486132,98.03003020192021
2015-01-13,97.28377409080836,96.17312406377312,93.14328259297527,99.753129971665,98.14326573932172
2015-01-14,97.27567056244233,94.7392770010836,92.15045084051349,99.20278381133568,98.43927090664984
2015-01-15,97.60296537361346,95.29605453063611,92.58228024401272,101.04191553878081,98.31378444368826
2015-01-16,97.73127855355625,95.03593097853512,92.22377566498164,99.91016209411752,98.19964663449319
2015-01-19,98.48265868784799,94.94428627630363,91.89183079210285,100.2583408005189,97.41957525523983
2015-01-20,99.4102291433177,96.20597169285449,91.77077111433161,101.30611798375307,97.74233531117318
2015-01-21,97.51205332646856,94.05605124301235,90.27845101264568,102.01312225775874,97.38335272201157
2015-01-22,97.246018443591,93.7412795041306,89.6841563793715,101.46631512381931,97.64347650624781
2015-01-23,96.8005867937449,94.24784376080072,90.19528586235947,100.92230321325353,97.45710969774122
2015-01-26,96.56582924353484,93.08882472290416,89.15652619551359,99.51680876833468,97.42342058047036
2015-01-27,93.0410888219546,90.39809192480163,84.97916429978716,98.20231381603358,97.3741787367358
2015-01-28,93.27154051522302,91.76279073731052,86.03176269003032,97.66612892479819,96.77815376100727
2015-01-29,95.04961224765648,93.74219606692859,87.74274314985917,98.31368232686076,97.72877883758478
2015-01-30,94.3252140963491,92.67291118893328,86.5765360574438,96.67907053422805,97.21022840555014
2015-02-02,94.98532226268446,92.46907917770693,85.85866013223598,96.25894030281407,97.26227622434013
2015-02-03,94.67779394611681,92.38067993814775,84.8282709263642,95.5989093222493,97.0006881966312
2015-02-04,92.92904089837812,91.56208408737557,85.07484007298328,93.738318277828,96.93503195584385
2015-02-05,90.66637027755844,90.9514722566158,84.28737131347928,93.19172974253291,97.41784861792459
